Descriptor,P-value,Result
pIC50,3.4603537853493484e-296,Significant
MW,0.09606758300355916,Not Significant
LogP,0.8475728107630058,Not Significant
nHBDon,0.02108689796211327,Significant
nHBAcc,0.035788932187339854,Significant
